Block,StartingNumber,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,TSST_instruction_start.started,tsst_instruction_text.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,subtract_number_TSST.started,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,subtract_pausing_TSST.started,TSST_ARITH_PAUSE.stopped,Finished.started,finished_text.started,Finished.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.011924416990950704,0.0287783749809023,1.1995639999804553,,,,,,,,,,226446,001,2025-11-27_08h11.36.138,TSST_fnirs_V4_ARITH,2024.1.4,None,2025-11-27 08h11.42.010877 -0400,
1,1039,0,0,0,0,1.2222457499883603,,,,,1.2052375839848537,1.2222457499883603,41.20262937498046,41.20275012499769,41.229795999999624,61.20264262499404,,,,226446,001,2025-11-27_08h11.36.138,TSST_fnirs_V4_ARITH,2024.1.4,None,2025-11-27 08h11.42.010877 -0400,
2,828,0,1,1,1,61.2189277089783,,,,,61.203450000000885,61.2189277089783,62.30201141699217,62.302042499999516,,62.30220537498826,,,,226446,001,2025-11-27_08h11.36.138,TSST_fnirs_V4_ARITH,2024.1.4,None,2025-11-27 08h11.42.010877 -0400,
,,,,,,,,,,,,,,,,,62.30224433398689,62.32242749998113,74.2481242089998,226446,001,2025-11-27_08h11.36.138,TSST_fnirs_V4_ARITH,2024.1.4,None,2025-11-27 08h11.42.010877 -0400,
