CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,start_tone.started,read_number.started,start_tone.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.022020666976459324,0.036146041995380074,2.2924297919962555,,,,,394611,001,2025-10-16_12h10.01.539,TSST_fnirs_V4_FULL,2024.1.4,None,2025-10-16 12h10.12.539292 -0300,
,,,,2.326605374983046,,,,,2.2966306249727495,2.303336375307602,2.482822332996875,2.505384167016018,,,,,,,,
