6.4090 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
6.6070 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [3840, 2160]. Using actual size
6.9135 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33340>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B332E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33130>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001E4A2C5B970>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=2, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9135 	EXP 	window1: backgroundImage = ''
6.9136 	EXP 	window1: backgroundFit = 'none'
6.9138 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
6.9139 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
6.9166 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
6.9175 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
7.1109 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
7.1110 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
7.1119 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
7.1128 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4A2B33460>
7.1603 	EXP 	window1: Attempting to measure frame rate of screen (2) ...
7.1603 	EXP 	window1: recordFrameIntervals = False
7.3112 	EXP 	window1: recordFrameIntervals = True
7.4948 	EXP 	Screen (2) actual frame rate measured at 59.95Hz
7.4948 	EXP 	window1: recordFrameIntervals = False
7.4950 	EXP 	window1: mouseVisible = False
8.4591 	INFO 	keyboard.Keyboard is using ptb backend.
8.4592 	EXP 	TSST_fnirs_V4_CONTROL: status = STARTED
8.4596 	EXP 	window1: mouseVisible = False
8.5572 	EXP 	Created ctl1_instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ctl1_instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.5574 	INFO 	keyboard.Keyboard is using ptb backend.
8.5574 	EXP 	window1: mouseVisible = False
8.6386 	EXP 	Sound  set volume 1.000
8.7002 	EXP 	window1: mouseVisible = True
8.7041 	INFO 	saved data to c:\Users\neuro\GitHub\fNIRS_TSST_PsychoPy\builder_files\data/789322_TSST_fnirs_V4_CONTROL_2025-11-27_10h30.44.477.psydat
8.7048 	INFO 	saved data to 'c:\\Users\\neuro\\GitHub\\fNIRS_TSST_PsychoPy\\builder_files\\data/789322_TSST_fnirs_V4_CONTROL_2025-11-27_10h30.44.477.csv'
8.7320 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
8.7613 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
