CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,start_tone.started,read_number.started,start_tone.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.07126759999999877,0.07622000000003482,18.860025000000007,,,,,044872,001,2025-12-09_17h07.00.859,TSST_fnirs_V4_CONTROL,2025.1.1,None,2025-12-09 17h07.11.187910 -0400,
,,,,18.869278699999995,,,,,18.860628899999995,18.882528466666706,19.066078900000036,19.082593799999984,,,,,,,,
