4.8813 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
5.1424 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [3840, 2160]. Using actual size
5.5491 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453430>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C24533D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453220>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F7C257BA60>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=2, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.5492 	EXP 	window1: backgroundImage = ''
5.5492 	EXP 	window1: backgroundFit = 'none'
5.5494 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.5496 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.5527 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.5537 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.7433 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.7435 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.7445 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.7454 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F7C2453550>
5.8015 	EXP 	window1: Attempting to measure frame rate of screen (2) ...
5.8016 	EXP 	window1: recordFrameIntervals = False
5.9574 	EXP 	window1: recordFrameIntervals = True
6.1410 	EXP 	Screen (2) actual frame rate measured at 60.02Hz
6.1411 	EXP 	window1: recordFrameIntervals = False
6.1412 	EXP 	window1: mouseVisible = False
7.1049 	INFO 	keyboard.Keyboard is using ptb backend.
7.1050 	EXP 	TSST_fnirs_V4_CONTROL: status = STARTED
7.1054 	EXP 	window1: mouseVisible = False
7.2048 	EXP 	Created ctl1_instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ctl1_instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.2049 	INFO 	keyboard.Keyboard is using ptb backend.
7.2050 	EXP 	window1: mouseVisible = False
7.3158 	EXP 	window1: mouseVisible = True
7.3197 	INFO 	saved data to c:\Users\neuro\GitHub\fNIRS_TSST_PsychoPy\builder_files\data/955334_TSST_fnirs_V4_CONTROL_2025-11-27_10h05.31.893.psydat
7.3205 	INFO 	saved data to 'c:\\Users\\neuro\\GitHub\\fNIRS_TSST_PsychoPy\\builder_files\\data/955334_TSST_fnirs_V4_CONTROL_2025-11-27_10h05.31.893.csv'
7.3453 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
7.4070 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
