CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,read_number.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.010002249997342005,0.018988124997122213,0.622397583007114,,,919716,001,2025-11-27_10h15.36.775,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-11-27 10h15.42.768574 -0400,
,,,,0.6409424169978593,,,,,0.6249591250088997,0.8157517079962417,,,,,,,,
