CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,Block,StartingNumber,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,read_number.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,subtract_number.started,CTL2_TASK.stopped,CTL2_PAUSE.started,subtract_pausing.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.07966329995542765,0.08396470011211932,0.8470791999716312,,,,,,,,,,,,,,805823,001,2025-11-27_10h40.05.306,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-11-27 10h40.08.532725 -0400,
0,0,0,0,,,,,,,0.860803100047633,,,,,0.8477620000485331,1.0610525000374764,18.76137590012513,18.761410899925977,18.767594600096345,,,,,,,,,805823,001,2025-11-27_10h40.05.306,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-11-27 10h40.08.532725 -0400,
,,,,,,,,,,,,,,,,,,,,18.767648899927735,18.77786080003716,19.728992300108075,,,,,,805823,001,2025-11-27_10h40.05.306,TSST_fnirs_V4_CONTROL,2024.1.4,None,2025-11-27 10h40.08.532725 -0400,
,,,,,,,,,,19.745684100082144,,,,,,,,,,,,,19.737406800035387,19.745684100082144,59.73372490005568,59.73376199998893,59.75019930000417,,,,,,,,
