5.9542 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
6.1168 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [2160, 3840]. Using actual size
6.4196 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773370>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773310>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773160>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000205C789B9A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2160, 3840]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.4197 	EXP 	window1: backgroundImage = ''
6.4197 	EXP 	window1: backgroundFit = 'none'
6.4199 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.4201 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.4228 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.4237 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.8741 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.8743 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.8752 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.8760 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000205C7773490>
6.9933 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.9933 	EXP 	window1: recordFrameIntervals = False
7.2886 	EXP 	window1: recordFrameIntervals = True
7.3559 	WARNING 	t of last frame was 33.34ms (=1/29)
7.3886 	WARNING 	t of last frame was 32.68ms (=1/30)
7.4226 	WARNING 	t of last frame was 33.99ms (=1/29)
7.4552 	WARNING 	t of last frame was 32.58ms (=1/30)
7.4889 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
7.6558 	EXP 	Screen (0) actual frame rate measured at 30.05Hz
7.6558 	EXP 	window1: recordFrameIntervals = False
7.6560 	EXP 	window1: mouseVisible = False
8.6287 	INFO 	keyboard.Keyboard is using ptb backend.
8.6287 	EXP 	TSST_fnirs_V4_CONTROL: status = STARTED
8.6292 	EXP 	window1: mouseVisible = False
8.7748 	EXP 	Created ctl1_instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ctl1_instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.7749 	INFO 	keyboard.Keyboard is using ptb backend.
8.7750 	EXP 	window1: mouseVisible = False
8.8940 	EXP 	window1: mouseVisible = True
8.8982 	INFO 	saved data to c:\Users\neuro\GitHub\fNIRS_TSST_PsychoPy\builder_files\data/438975_TSST_fnirs_V4_CONTROL_2025-11-27_09h59.41.375.psydat
8.8992 	INFO 	saved data to 'c:\\Users\\neuro\\GitHub\\fNIRS_TSST_PsychoPy\\builder_files\\data/438975_TSST_fnirs_V4_CONTROL_2025-11-27_09h59.41.375.csv'
8.9269 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
8.9326 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
