23.6571 	EXP 	Created subtract_pausing_TSST = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='subtract_pausing_TSST', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
23.6572 	EXP 	window1: mouseVisible = True
23.6613 	EXP 	Created finished_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='finished_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0126 	INFO 	Keyboard events cleared
0.0134 	EXP 	window1: mouseVisible = False
0.0215 	EXP 	ctl1_instruction_text: autoDraw = True
2.3755 	DATA 	Keypress: space
2.3861 	WARNING 	t of last frame was 361.02ms (=1/2)
3.7128 	DATA 	Keypress: bracketright
4.1011 	INFO 	Keyboard events cleared
4.1035 	EXP 	Created sequence: sequential, trialTypes=1, nReps=6, seed=None
4.1037 	EXP 	New trial (rep=0, index=0): None
4.1043 	EXP 	window1: mouseVisible = False
4.1043 	INFO 	Keyboard events cleared
4.1163 	EXP 	Sound start_tone started
4.1094 	DATA 	Keypress: return
4.1131 	EXP 	ctl1_instruction_text: autoDraw = False
4.1131 	EXP 	read_number: height = 0.07
4.1131 	EXP 	read_number: height = 0.07
4.1131 	EXP 	read_number: height = 0.07
4.1131 	EXP 	read_number: text = 1022
4.3006 	EXP 	read_number: autoDraw = True
4.3057 	EXP 	Sound start_tone stopped
5.5733 	DATA 	Keypress: space
5.5774 	EXP 	read_number: height = 0.07
5.5774 	EXP 	read_number: height = 0.07
5.5774 	EXP 	read_number: height = 0.07
5.5774 	EXP 	read_number: text = '1009'
5.8913 	DATA 	Keypress: space
5.8959 	WARNING 	t of last frame was 21.41ms (=1/46)
5.8959 	EXP 	read_number: height = 0.07
