CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,Block,StartingNumber,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,fixation.started,text_2.started,text_2.stopped,fixation.stopped,CTL1_TASK.started,read_number.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,subtract_number.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.014087332994677126,0.024589957989519462,1.128350707993377,,,,,,,,,,,,,,,974091,001,2025-11-27_18h35.34.826,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 18h35.41.374512 -0400,
0,0,0,0,,,,,,,1.142438332986785,,,,,1.132664582983125,1.142438332986785,31.137240791984368,31.128116791980574,31.128129874996375,31.319181416998617,32.81879933300661,32.8188302500057,32.82134020800004,,,,,,974091,001,2025-11-27_18h35.34.826,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 18h35.41.374512 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,32.82137304198113,32.82840395800304,33.51986479200423,,,974091,001,2025-11-27_18h35.34.826,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 18h35.41.374512 -0400,
,,,,,,,,,,33.536110624991124,,,,,,,,,,,,,,,,,33.52824954199605,33.536110624991124,,,,,,,,
