CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,fixation_cross.started,fixation_cross.stopped,FIXATION.stopped,CTL1_TASK.started,read_number.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.15159280004445463,0.15583790000528097,52.43309489998501,,,,,,,060651,001,2026-01-22_18h20.43.085,TSST_fnirs_V4_CONTROL,2024.1.4,None,2026-01-22 18h20.48.577552 -0400,
,,,,,,,,,52.4331459000241,52.44108050002251,82.4407094999915,82.4275304999901,,,060651,001,2026-01-22_18h20.43.085,TSST_fnirs_V4_CONTROL,2024.1.4,None,2026-01-22 18h20.48.577552 -0400,
,,,,82.4407094999915,,,,,,,,,82.4281768000219,82.6287937000161,,,,,,,,
