CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,fixation_cross.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,task_end.started,task_end_text.started,participant,session,date,expName,psychopyVersion,Fullscreen,Screen No.,Audio Device,frameRate,expStart,
,,,,,,0.03412399999797344,0.07299737498397008,7.493090083997231,,,,,,,,,,962276,001,2026-02-09_09h17.57.454,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 09h18.07.227278 -0400,
,,,,,,,,,7.493277458997909,7.514431874995353,10.489127916982397,,,,,,,962276,001,2026-02-09_09h17.57.454,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 09h18.07.227278 -0400,
0,0,0,0,10.506508999998914,,,,,,,,10.492173042002833,10.496313166979235,10.496333583985688,10.499122209002962,,,962276,001,2026-02-09_09h17.57.454,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 09h18.07.227278 -0400,
,,,,,,,,,,,,,,,,10.499190292001003,10.506508999998914,,,,,,,,,,,
