CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,fixation_cross.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,task_end.started,task_end_text.started,participant,session,date,expName,psychopyVersion,Fullscreen,Screen No.,Audio Device,frameRate,expStart,
,,,,,,0.08846120801172219,0.13991137500852346,26.60271391601418,,,,,,,,,,610011,001,2026-02-09_09h38.01.865,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 09h40.40.570591 -0400,
,,,,,,,,,26.603018958005123,26.632950041006552,33.85279974999139,,,,,,,610011,001,2026-02-09_09h38.01.865,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 09h40.40.570591 -0400,
0,0,0,0,33.87845654101693,,,,,,,,33.86196308300714,33.86790250000195,33.86792712501483,33.870783791004214,,,610011,001,2026-02-09_09h38.01.865,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 09h40.40.570591 -0400,
,,,,,,,,,,,,,,,,33.870872958010295,33.87845654101693,,,,,,,,,,,
