12.8668 	EXP 	Created subtract_pausing = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='subtract_pausing', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.8668 	EXP 	window1: mouseVisible = False
12.8737 	EXP 	Created task_end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='task_end_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Please wait for the next task to begin..', units='height', win=Window(...), wrapWidth=1)
0.0011 	DATA 	Keypress: return
0.0855 	INFO 	Keyboard events cleared
0.0855 	EXP 	window1: mouseVisible = False
0.0899 	EXP 	ctl1_instruction_text: autoDraw = True
0.4965 	INFO 	Keyboard events cleared
0.4969 	EXP 	Created sequence: sequential, trialTypes=1, nReps=6, seed=None
0.4971 	EXP 	New trial (rep=0, index=0): None
0.4972 	EXP 	window1: mouseVisible = False
0.4972 	INFO 	Keyboard events cleared
0.5026 	EXP 	Sound start_tone reached end of file
0.5100 	EXP 	Sound start_tone started
0.5032 	DATA 	Keypress: return
0.5100 	EXP 	ctl1_instruction_text: autoDraw = False
0.5100 	EXP 	read_number: height = 0.07
0.5100 	EXP 	read_number: height = 0.07
0.5100 	EXP 	read_number: height = 0.07
0.5100 	EXP 	read_number: text = 1022
0.7041 	EXP 	Sound start_tone stopped
0.7041 	EXP 	Sound start_tone reached end of file
0.7101 	EXP 	read_number: autoDraw = True
40.5735 	EXP 	window1: mouseVisible = False
40.5736 	EXP 	Sound start_pause_tone reached end of file
40.5818 	EXP 	Sound start_pause_tone started
40.5773 	EXP 	read_number: autoDraw = False
40.5773 	EXP 	read_number: autoDraw = False
40.5773 	EXP 	read_pausing: height = 0.07
40.5773 	EXP 	read_pausing: height = 0.07
40.5773 	EXP 	read_pausing: height = 0.07
40.5773 	EXP 	read_pausing: text = 'PAUSE'
40.5773 	EXP 	read_pausing: autoDraw = True
40.7840 	EXP 	Sound start_pause_tone stopped
40.7841 	EXP 	Sound start_pause_tone reached end of file
43.2208 	DATA 	Mouse: Left button down, pos=(3128,1009)
43.3366 	DATA 	Mouse:  Left button up, pos=(3128,1009)
44.1364 	DATA 	Keypress: space
44.3208 	DATA 	Keypress: space
44.4701 	DATA 	Keypress: space
44.6375 	DATA 	Keypress: space
60.5011 	EXP 	New trial (rep=1, index=0): None
60.5012 	EXP 	window1: mouseVisible = False
60.5013 	INFO 	Keyboard events cleared
60.5034 	EXP 	Sound start_tone reached end of file
60.5173 	EXP 	Sound start_tone started
60.5174 	EXP 	read_pausing: autoDraw = False
60.5174 	EXP 	read_number: height = 0.07
60.5174 	EXP 	read_number: height = 0.07
60.5174 	EXP 	read_number: height = 0.07
60.5174 	EXP 	read_number: text = 1022
60.7008 	EXP 	read_number: autoDraw = True
60.7139 	EXP 	Sound start_tone stopped
60.7140 	EXP 	Sound start_tone reached end of file
62.9773 	DATA 	Keypress: space
62.9863 	EXP 	read_number: height = 0.07
