32.9210 	EXP 	Created subtract_pausing = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='subtract_pausing', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
32.9211 	EXP 	window1: mouseVisible = False
32.9257 	EXP 	Created task_end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='task_end_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Please wait for the next task to begin..', units='height', win=Window(...), wrapWidth=1)
0.0611 	INFO 	Keyboard events cleared
0.0612 	EXP 	window1: mouseVisible = False
0.0642 	EXP 	ctl1_instruction_text: autoDraw = True
31.9539 	DATA 	Keypress: space
34.1322 	INFO 	Keyboard events cleared
34.1326 	EXP 	Created sequence: sequential, trialTypes=1, nReps=6, seed=None
34.1328 	EXP 	New trial (rep=0, index=0): None
34.1329 	EXP 	window1: mouseVisible = False
34.1329 	INFO 	Keyboard events cleared
34.1377 	EXP 	Sound start_tone reached end of file
34.1486 	EXP 	Sound start_tone started
34.1383 	DATA 	Keypress: return
34.1393 	EXP 	ctl1_instruction_text: autoDraw = False
34.1393 	EXP 	read_number: height = 0.07
34.1393 	EXP 	read_number: height = 0.07
34.1393 	EXP 	read_number: height = 0.07
34.1393 	EXP 	read_number: text = 1022
34.3264 	EXP 	read_number: autoDraw = True
34.3517 	EXP 	Sound start_tone stopped
34.3518 	EXP 	Sound start_tone reached end of file
40.2967 	DATA 	Keypress: space
40.2985 	EXP 	read_number: height = 0.07
40.2985 	EXP 	read_number: height = 0.07
40.2985 	EXP 	read_number: height = 0.07
40.2985 	EXP 	read_number: text = '1009'
40.8378 	DATA 	Keypress: space
40.8402 	EXP 	read_number: height = 0.07
40.8402 	EXP 	read_number: height = 0.07
40.8402 	EXP 	read_number: height = 0.07
40.8402 	EXP 	read_number: text = '996'
41.3938 	DATA 	Keypress: space
41.3957 	EXP 	read_number: height = 0.07
41.3957 	EXP 	read_number: height = 0.07
41.3957 	EXP 	read_number: height = 0.07
41.3957 	EXP 	read_number: text = '983'
42.0877 	DATA 	Keypress: space
42.0902 	EXP 	read_number: height = 0.07
42.0902 	EXP 	read_number: height = 0.07
42.0902 	EXP 	read_number: height = 0.07
42.0902 	EXP 	read_number: text = '970'
42.6229 	DATA 	Keypress: space
42.6251 	EXP 	read_number: height = 0.07
42.6251 	EXP 	read_number: height = 0.07
42.6251 	EXP 	read_number: height = 0.07
42.6251 	EXP 	read_number: text = '957'
42.8095 	DATA 	Keypress: space
42.8124 	EXP 	read_number: height = 0.07
42.8124 	EXP 	read_number: height = 0.07
42.8124 	EXP 	read_number: height = 0.07
42.8124 	EXP 	read_number: text = '944'
43.0010 	DATA 	Keypress: space
43.0138 	EXP 	read_number: height = 0.07
43.0138 	EXP 	read_number: height = 0.07
43.0138 	EXP 	read_number: height = 0.07
43.0138 	EXP 	read_number: text = '931'
43.1974 	DATA 	Keypress: space
43.2013 	EXP 	read_number: height = 0.07
43.2013 	EXP 	read_number: height = 0.07
43.2013 	EXP 	read_number: height = 0.07
43.2013 	EXP 	read_number: text = '918'
43.3709 	DATA 	Keypress: space
43.3749 	EXP 	read_number: height = 0.07
43.3749 	EXP 	read_number: height = 0.07
43.3749 	EXP 	read_number: height = 0.07
43.3749 	EXP 	read_number: text = '905'
43.5584 	DATA 	Keypress: space
43.5624 	EXP 	read_number: height = 0.07
43.5624 	EXP 	read_number: height = 0.07
43.5624 	EXP 	read_number: height = 0.07
43.5624 	EXP 	read_number: text = '892'
43.7327 	DATA 	Keypress: space
43.7360 	EXP 	read_number: height = 0.07
43.7360 	EXP 	read_number: height = 0.07
43.7360 	EXP 	read_number: height = 0.07
43.7360 	EXP 	read_number: text = '879'
43.9061 	DATA 	Keypress: space
43.9096 	EXP 	read_number: height = 0.07
43.9096 	EXP 	read_number: height = 0.07
43.9096 	EXP 	read_number: height = 0.07
43.9096 	EXP 	read_number: text = '866'
44.0723 	DATA 	Keypress: space
44.0763 	EXP 	read_number: height = 0.07
44.0763 	EXP 	read_number: height = 0.07
44.0763 	EXP 	read_number: height = 0.07
44.0763 	EXP 	read_number: text = '853'
44.2445 	DATA 	Keypress: space
44.2569 	EXP 	read_number: height = 0.07
44.2569 	EXP 	read_number: height = 0.07
44.2569 	EXP 	read_number: height = 0.07
44.2569 	EXP 	read_number: text = '840'
44.4126 	DATA 	Keypress: space
44.4166 	EXP 	read_number: height = 0.07
44.4166 	EXP 	read_number: height = 0.07
44.4166 	EXP 	read_number: height = 0.07
44.4166 	EXP 	read_number: text = '827'
44.5868 	DATA 	Keypress: space
44.5902 	EXP 	read_number: height = 0.07
44.5902 	EXP 	read_number: height = 0.07
44.5902 	EXP 	read_number: height = 0.07
44.5902 	EXP 	read_number: text = '814'
44.7529 	DATA 	Keypress: space
44.7570 	EXP 	read_number: height = 0.07
44.7570 	EXP 	read_number: height = 0.07
44.7570 	EXP 	read_number: height = 0.07
44.7570 	EXP 	read_number: text = '801'
44.9126 	DATA 	Keypress: space
44.9165 	EXP 	read_number: height = 0.07
44.9165 	EXP 	read_number: height = 0.07
44.9165 	EXP 	read_number: height = 0.07
44.9165 	EXP 	read_number: text = '788'
45.0515 	DATA 	Keypress: space
45.0555 	EXP 	read_number: height = 0.07
45.0555 	EXP 	read_number: height = 0.07
45.0555 	EXP 	read_number: height = 0.07
45.0555 	EXP 	read_number: text = '775'
45.2182 	DATA 	Keypress: space
45.2221 	EXP 	read_number: height = 0.07
45.2221 	EXP 	read_number: height = 0.07
45.2221 	EXP 	read_number: height = 0.07
45.2221 	EXP 	read_number: text = '762'
45.3779 	DATA 	Keypress: space
45.3818 	EXP 	read_number: height = 0.07
45.3818 	EXP 	read_number: height = 0.07
45.3818 	EXP 	read_number: height = 0.07
45.3818 	EXP 	read_number: text = '749'
45.5496 	DATA 	Keypress: space
45.5624 	EXP 	read_number: height = 0.07
45.5624 	EXP 	read_number: height = 0.07
45.5624 	EXP 	read_number: height = 0.07
