CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,start_tone.started,read_number.started,start_tone.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.011957415961660445,0.02247816597810015,1.6175942499539815,,,,,490516,001,2025-10-16_08h38.03.274,TSST_fnirs_V4_FULL,2024.1.4,None,2025-10-16 08h38.11.817924 -0300,
,,,,1.6402438329532743,,,,,1.6205096249468625,1.6326919996218445,1.8137634999584407,1.834181665966753,,,,,,,,
