CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,fixation_cross.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,task_end.started,task_end_text.started,task_end.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,participant,session,date,expName,psychopyVersion,Fullscreen,Screen No.,Audio Device,frameRate,expStart,
,,,,,,0.010417208999569993,0.019579209001676645,3.9505772500051535,,,,,,,,,,,,,,270333,001,2026-01-29_12h19.08.977,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-01-29 12h19.21.548411 -0400,
,,,,,,,,,3.950797249999596,3.983598750004603,5.0938365000038175,,,,,,,,,,,270333,001,2026-01-29_12h19.08.977,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-01-29 12h19.21.548411 -0400,
0,0,0,0,5.120864459000586,,,,,,,,5.09696079200512,5.10062858400488,5.1006483340024715,5.103457667006296,,,,,,,270333,001,2026-01-29_12h19.08.977,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-01-29 12h19.21.548411 -0400,
,,,,,,,,,,,,,,,,5.103512834000867,5.120864459000586,7.832119417005742,,,,270333,001,2026-01-29_12h19.08.977,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-01-29 12h19.21.548411 -0400,
,,,,,,,,,,,,,,,,,,,8.44207333400118,8.450829875000636,20.197703167003056,270333,001,2026-01-29_12h19.08.977,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-01-29 12h19.21.548411 -0400,
,,,,,,,,,20.19793012500304,20.21852525000577,,,,,,,,,,,,,,,,,,,,,,
