CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,start_tone.started,read_number.started,start_tone.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.011170333018526435,0.03703375003533438,2.731711708009243,,,,,641174,001,2025-10-16_08h16.02.243,TSST_fnirs_V4_FULL,2024.1.4,None,2025-10-16 08h16.08.959544 -0300,
,,,,2.740895958035253,,,,,2.734302541008219,2.7470058326764653,2.9294645829941146,2.9412001250311732,,,,,,,,
